names,scores,logfoldchanges,pvals,pvals_adj,significant
AANATL7,3.099132,1.0317605,0.0019408849789334516,0.009990273994580684,True
Rep,3.0934584,1.1511481,0.0019783821496271105,0.010167352298885357,True
mir-990,2.9367852,2.0431685,0.0033163373499922755,0.016495075365726152,True
wtrw,2.8284438,1.1579396,0.004677490565956134,0.022689886868670933,True
ITP,2.8139462,1.0185412,0.004893742537765282,0.02359951217936645,True
Tehao,2.8059094,1.1788654,0.005017479007272809,0.02413422094969692,True
CG13192,2.7871668,1.4147191,0.005317107911541033,0.025421289347095026,True
CG17068,2.779388,1.2170825,0.005446145872427348,0.02599629600783428,True
28SrRNA-Psi:CR45848,2.7751112,1.4093602,0.0055182817112509105,0.026321502710543815,True
Rh2,2.7584238,1.1189876,0.005808085888929214,0.02754937626220273,True
CG10347,2.546417,1.29946,0.010883505949653047,0.048929234240297874,True
CG2124,-2.5684333,-1.2967206,0.010215939191786386,0.04624445639657764,True
Rbm13,-2.772997,-1.0272174,0.005554266021536134,0.026464325521757193,True
Cpr72Ec,-2.8987231,-2.217522,0.0037468561479166032,0.018468655903890505,True
Arr1,-3.1080718,-1.1856242,0.0018831227852309502,0.009708166544025076,True
asRNA:CR45479,-3.1699612,-2.1499848,0.00152459243128053,0.007960504287571135,True
retinin,-3.180056,-2.9784417,0.0014724659205162776,0.0077028959639746835,True
brv3,-3.2135994,-7.648763,0.0013108240114810639,0.006895731919484652,True
pkm,-3.23672,-1.4444238,0.0012091190906676542,0.0063914054587544825,True
CG11158,-3.3636546,-1.222806,0.0007691770572010014,0.004183673720479454,True
Cyp4d2,-3.6063578,-2.7870963,0.00031052493845124874,0.0017764946522367696,True
xit,-3.7148237,-1.4238768,0.00020334546092315648,0.001187100267432785,True
CG17982,-3.811734,-1.0355402,0.00013799534248910218,0.000822402174897638,True
Nplp3,-4.0488954,-2.1498432,5.1459941483739477e-05,0.0003195818010575711,True
se,-4.410223,-2.134962,1.0326412624393941e-05,6.89529412079069e-05,True
CG4293,-4.7071395,-1.0428327,2.5121706216351467e-06,1.772955646557866e-05,True
Muc14A,-5.0503983,-2.577322,4.408892715214733e-07,3.295634765110171e-06,True
slmo,-5.104497,-1.1777622,3.316757665236512e-07,2.5121332840848995e-06,True
CG6999,-6.485968,-1.1589997,8.816373804150038e-11,8.475198841282784e-10,True
CG32706,-6.926171,-1.3496555,4.323840305662353e-12,4.456438075035998e-11,True
Arr2,-10.785451,-1.1856304,4.032588206277466e-27,7.411502324292613e-26,True
Pdh,-13.249557,-2.1334043,4.538759275308028e-40,1.1404175073962294e-38,True
ninaE,-15.473688,-1.4077792,5.22273889436971e-54,1.7201005466394076e-52,True
lncRNA:roX2,-141.8335,-9.603278,0.0,0.0,True
lncRNA:roX1,-175.87006,-9.109962,0.0,0.0,True
