Dmel_CG3193 crn Gene Expression
Dmel_CG3191 CG3191 Gene Expression
Dmel_CG3091 CG3091 Gene Expression
Dmel_CG3078 CG3078 Gene Expression
Dmel_CG3073 temp Gene Expression
Dmel_CG3071 CG3071 Gene Expression
Dmel_CG2924 CG2924 Gene Expression
Dmel_CR45480 lncRNA:CR45480 Gene Expression
Dmel_CG2918 Grp170 Gene Expression
Dmel_CG34333 Vml Gene Expression
Dmel_CG2865 CG2865 Gene Expression
Dmel_CG2845 Raf Gene Expression
Dmel_CR34052 lncRNA:CR34052 Gene Expression
Dmel_CG14050 CG14050 Gene Expression
Dmel_CG2854 CG2854 Gene Expression
Dmel_CR33218 lncRNA:CR33218 Gene Expression
Dmel_CG14049 Ilp6 Gene Expression
Dmel_CG14048 mRpL14 Gene Expression
Dmel_CG2841 CG2841 Gene Expression
Dmel_CG43947 PsGEF Gene Expression
Dmel_CG12496 CG12496 Gene Expression
Dmel_CG32797 CG32797 Gene Expression
Dmel_CG7952 gt Gene Expression
Dmel_CG7925 tko Gene Expression
Dmel_CG32796 boi Gene Expression
Dmel_CG7803 z Gene Expression
Dmel_CG33950 trol Gene Expression
Dmel_CR43516 mir-4955 Gene Expression
Dmel_CG13758 Pdfr Gene Expression
Dmel_CG8310 Vha36-3 Gene Expression
Dmel_CG13759 AANATL7 Gene Expression
Dmel_CG13760 CG13760 Gene Expression
Dmel_CG17437 wds Gene Expression
Dmel_CG9659 egh Gene Expression
Dmel_CG8590 Klp3A Gene Expression
Dmel_CG9900 Zw10 Gene Expression
Dmel_CG13761 Smyd3 Gene Expression
Dmel_CG8636 eIF3g1 Gene Expression
Dmel_CG10742 Tsp3A Gene Expression
Dmel_CG9904 Seipin Gene Expression
Dmel_CG13762 brv3 Gene Expression
Dmel_CG10260 Pi4KIIIalpha Gene Expression
Dmel_CG2621 sgg Gene Expression
Dmel_CR45197 lncRNA:CR45197 Gene Expression
Dmel_CG2655 HLH3B Gene Expression
Dmel_CG2652 CG2652 Gene Expression
Dmel_CR44470 lncRNA:CR44470 Gene Expression
Dmel_CG2647 per Gene Expression
Dmel_CG2650 dyw Gene Expression
Dmel_CG2658 Spg7 Gene Expression
Dmel_CG2662 Lint-O Gene Expression
Dmel_CG2675 Ugalt Gene Expression
Dmel_CG2677 eIF2Bbeta Gene Expression
Dmel_CG2680 CG2680 Gene Expression
Dmel_CG2681 CG2681 Gene Expression
Dmel_CG2685 CG2685 Gene Expression
Dmel_CG2694 CG2694 Gene Expression
Dmel_CG2701 CG2701 Gene Expression
Dmel_CG2706 fs(1)Yb Gene Expression
Dmel_CG2707 fs(1)Ya Gene Expression
Dmel_CG2709 vilya Gene Expression
Dmel_CG2711 dwg Gene Expression
Dmel_CG2713 ttm50 Gene Expression
Dmel_CG2712 CG2712 Gene Expression
Dmel_CG2714 crm Gene Expression
Dmel_CG2715 Syx4 Gene Expression
Dmel_CG3653 kirre Gene Expression
Dmel_CR43494 lncRNA:CR43494 Gene Expression
Dmel_CG32795 CG32795 Gene Expression
Dmel_CG2759 w Gene Expression
Dmel_CG12498 CG12498 Gene Expression
Dmel_CG14416 CG14416 Gene Expression
Dmel_CG14417 CG14417 Gene Expression
Dmel_CG14418 CG14418 Gene Expression
Dmel_CG14419 CG14419 Gene Expression
Dmel_CG3526 CG3526 Gene Expression
Dmel_CG3588 CG3588 Gene Expression
Dmel_CG14424 CG14424 Gene Expression
Dmel_CG32793 CG32793 Gene Expression
Dmel_CG3592 CG3592 Gene Expression
Dmel_CG3598 CG3598 Gene Expression
Dmel_CG14420 CG14420 Gene Expression
Dmel_CG14421 CG14421 Gene Expression
Dmel_CG14422 CG14422 Gene Expression
Dmel_CG14423 CG14423 Gene Expression
Dmel_CG17959 CG17959 Gene Expression
Dmel_CG3603 CG3603 Gene Expression
Dmel_CG4125 rst Gene Expression
Dmel_CG4116 CG4116 Gene Expression
Dmel_CG3936 N Gene Expression
Dmel_CG18508 CG18508 Gene Expression
Dmel_CG4015 Fcp3C Gene Expression
Dmel_CG3939 CG3939 Gene Expression
Dmel_CG32498 Pde4 Gene Expression
Dmel_CG14265 CG14265 Gene Expression
Dmel_CG14266 ng2 Gene Expression
Dmel_CG10788 ng3 Gene Expression
Dmel_CG10781 ng1 Gene Expression
Dmel_CG10789 ng4 Gene Expression
Dmel_CG10790 Pig1 Gene Expression
Dmel_CG12181 Sgs4 Gene Expression
Dmel_CR44886 lncRNA:CR44886 Gene Expression
Dmel_CG10793 CG10793 Gene Expression
Dmel_CR46243 lncRNA:CR46243 Gene Expression
Dmel_CR44999 lncRNA:CR44999 Gene Expression
Dmel_CG10798 Myc Gene Expression
Dmel_CG12535 CG12535 Gene Expression
Dmel_CR32493 tRNA:Gln-TTG-2-1 Gene Expression
Dmel_CG14269 CG14269 Gene Expression
Dmel_CG16782 CG16782 Gene Expression
Dmel_CG10801 CG10801 Gene Expression
Dmel_CG16781 CG16781 Gene Expression
Dmel_CG12206 CG12206 Gene Expression
Dmel_CG10804 CG10804 Gene Expression
Dmel_CG10802 CG10802 Gene Expression
Dmel_CG14270 CG14270 Gene Expression
Dmel_CG10803 CG10803 Gene Expression
Dmel_CG14271 Gas8 Gene Expression
Dmel_CG32791 DIP-alpha Gene Expression
Dmel_CG13021 CG13021 Gene Expression
Dmel_CR34335 lncRNA:CR34335 Gene Expression
Dmel_CG32792 ppk8 Gene Expression
Dmel_CG2875 CG2875 Gene Expression
Dmel_CG2872 AstA-R1 Gene Expression
Dmel_CG13317 Ilp7 Gene Expression
Dmel_CG2864 Parg Gene Expression
Dmel_CG13316 Mnt Gene Expression
Dmel_CR45102 lncRNA:CR45102 Gene Expression
Dmel_CG2849 Rala Gene Expression
Dmel_CG34412 Tlk Gene Expression
Dmel_CR43517 mir-4962 Gene Expression
Dmel_CG2947 HIP-R Gene Expression
Dmel_CR44117 lncRNA:CR44117 Gene Expression
Dmel_CG32788 Crg-1 Gene Expression
Dmel_CG32789 HIP Gene Expression
Dmel_CR44118 lncRNA:CR44118 Gene Expression
Dmel_CG44123 fd3F Gene Expression
Dmel_CG2904 ec Gene Expression
Dmel_CR32785 tRNA:Gln-CTG-2-1 Gene Expression
Dmel_CR32784 tRNA:Pro-CGG-3-1 Gene Expression
Dmel_CG2901 CG2901 Gene Expression
Dmel_CR32777 lncRNA:roX1 Gene Expression
Dmel_CG44402 yin Gene Expression
Dmel_CG2930 CG2930 Gene Expression
Dmel_CG2934 VhaAC39-1 Gene Expression
Dmel_CG15239 CG15239 Gene Expression
Dmel_CG42541 CG42541 Gene Expression
Dmel_CG2938 CG2938 Gene Expression
Dmel_CG2941 Glos Gene Expression
Dmel_CG32786 Gem4b Gene Expression
Dmel_CG32783 Gem4c Gene Expression
Dmel_CG5014 Vap33 Gene Expression
Dmel_CG6450 lva Gene Expression
Dmel_CG6428 CG6428 Gene Expression
Dmel_CG6414 CG6414 Gene Expression
Dmel_CR45481 asRNA:CR45481 Gene Expression
Dmel_CR43298 lncRNA:CR43298 Gene Expression
Dmel_CR45482 lncRNA:CR45482 Gene Expression
Dmel_CR46247 lncRNA:CR46247 Gene Expression
Dmel_CR46349 lncRNA:CR46349 Gene Expression
Dmel_CG43689 CG43689 Gene Expression
Dmel_CG6379 Cmtr1 Gene Expression
Dmel_CG15375 CG15375 Gene Expression
Dmel_CG6358 Xpac Gene Expression
Dmel_CG4934 brn Gene Expression
Dmel_CG4944 cib Gene Expression
Dmel_CG6133 Nsun2 Gene Expression
Dmel_CG4865 dgt4 Gene Expression
Dmel_CG6121 Tip60 Gene Expression
Dmel_CG4857 tyf Gene Expression
Dmel_CG32775 GlcAT-I Gene Expression
Dmel_CG3665 Fas2 Gene Expression
Dmel_CG43288 CG43288 Gene Expression
Dmel_CG15571 CG15571 Gene Expression
Dmel_CG15570 CG15570 Gene Expression
Dmel_CG15573 Femcoat Gene Expression
Dmel_CG32774 Muc4B Gene Expression
Dmel_CG43134 CG43134 Gene Expression
Dmel_CG43135 CG43135 Gene Expression
Dmel_CG15576 CG15576 Gene Expression
Dmel_CG12691 CG12691 Gene Expression
Dmel_CG15572 CG15572 Gene Expression
