names,scores,logfoldchanges,pvals,pvals_adj,significant
shg,0.24434508,0.14467174,0.8069635645450237,1.0,False
CG10914,0.24367586,-0.17735127,0.8074818687123144,1.0,False
Arts,0.24357146,0.06970909,0.8075627370926866,1.0,False
CG8607,0.2431059,0.06358978,0.8079233555448508,1.0,False
CG13325,0.24239731,-0.048623044,0.808472316358607,1.0,False
Ing5,0.24229804,-0.2063709,0.8085492314489998,1.0,False
mino,0.24218678,-0.025781937,0.8086354315935845,1.0,False
CG6310,0.2420858,-0.023630425,0.8087136768126784,1.0,False
CRAT,0.24154666,-0.055947438,0.8091314590618736,1.0,False
CG4554,0.24142514,-0.028192852,0.8092256333728052,1.0,False
Fhos,0.24107084,0.016300276,0.8095002136788431,1.0,False
CG14252,0.24073537,-0.14738813,0.8097602243781716,1.0,False
Taf7,0.2406652,-0.12567775,0.8098146170280962,1.0,False
CG9356,0.24046494,-0.048876423,0.809969840128093,1.0,False
eEFSec,0.23997885,-0.0654103,0.8103466520675877,1.0,False
CG6693,0.23911451,-0.20196411,0.8110167959063219,1.0,False
l(2)09851,0.2386113,-0.18513606,0.8114070028776141,1.0,False
Iru,0.23851545,-0.18261841,0.8114813333302193,1.0,False
CG3907,0.23719925,-0.13087277,0.8125022213362931,1.0,False
Brat1,0.23588988,-0.10922283,0.813518115425429,1.0,False
CG13408,0.23399003,-0.1275636,0.8149927154156941,1.0,False
ttk,0.23398319,0.46599662,0.8149980304782073,1.0,False
CG31223,0.23388563,-0.18711762,0.8150737710440425,1.0,False
jet,0.23373158,-0.2385852,0.8151933649296387,1.0,False
CG10428,0.23371105,-0.17735626,0.815209311106452,1.0,False
Gtpx,0.23321982,-0.1545664,0.8155907132948302,1.0,False
CG13151,0.23315136,-0.13329758,0.8156438738657346,1.0,False
CG2961,0.23279536,1.9618286,0.8159203225080817,1.0,False
CG3906,0.23278166,1.7691867,0.8159309556059505,1.0,False
Oseg4,0.23277481,0.9840495,0.8159362721675946,1.0,False
asRNA:CR44228,0.23276797,4.0974135,0.8159415887377114,1.0,False
CG5104,0.2327577,3.7516325,0.8159495636087726,1.0,False
lncRNA:CR44589,0.23274742,2.1745842,0.815957538498896,1.0,False
ste24b,0.23274058,1.5205145,0.8159628551029013,1.0,False
CG33296,0.23273715,2.1220183,0.815965513408081,1.0,False
lncRNA:CR46254,0.23270635,1.171143,0.8159894382499974,1.0,False
Damm,0.23270293,1.2920823,0.8159920965763542,1.0,False
TrpA1,0.23268239,0.6767661,0.8160080465789633,1.0,False
Shark,0.23266698,1.1213783,0.816020009130944,1.0,False
CG15890,0.23264474,1.3639916,0.8160372884483849,1.0,False
CG1628,0.23264131,0.62361795,0.8160399468128535,1.0,False
CG11700,0.23262419,1.1802236,0.8160532386669515,1.0,False
CG6962,0.23260708,0.8034929,0.8160665305739716,1.0,False
Zip71B,0.23258996,0.8500864,0.8160798225339103,1.0,False
CG18327,0.23258312,0.6195253,0.8160851393327022,1.0,False
mei-W68,0.23255573,0.665744,0.8161064066125288,1.0,False
CG34377,0.23254888,0.4286208,0.8161117234536491,1.0,False
CG12836,0.2324496,0.60320497,0.8161888186010244,1.0,False
mid,0.23230241,0.4315637,0.8163031353698159,1.0,False
snoRNA:Dek-a,0.23207648,0.19062035,0.8164786059209412,1.0,False
lncRNA:CR44663,0.23207307,0.3007781,0.8164812646364346,1.0,False
L,0.23205766,0.33214855,0.8164932288822917,1.0,False
pes,0.23203541,0.2553782,0.8165105106462558,1.0,False
sktl,0.23192929,0.3035343,0.816592932594056,1.0,False
lncRNA:CR43496,0.23159896,-0.12432091,0.8168495171233197,1.0,False
Galm2,0.23159382,0.16994433,0.8168535056388895,1.0,False
CG8243,0.23150483,-0.22949418,0.8169226406622949,1.0,False
CSN3,0.23139186,-0.09597762,0.8170103910125748,1.0,False
CG12746,0.23091432,-0.20681356,0.817381361005,1.0,False
KFase,0.23066957,0.06657239,0.8175715156088255,1.0,False
dgt2,0.23051552,-0.024587778,0.8176911988369624,1.0,False
Wdr24,0.23044364,0.097710215,0.8177470524646737,1.0,False
CG13005,0.23039915,0.019141419,0.8177816289836224,1.0,False
CG6951,0.2301116,-0.093984984,0.8180050550339522,1.0,False
geminin,0.22987881,-0.09149369,0.818185934570393,1.0,False
asRNA:CR45835,0.22872864,0.05828489,0.8190798341729282,1.0,False
CG5359,0.22865161,-0.1549166,0.8191397019360205,1.0,False
CG32195,0.22855063,0.057280898,0.8192181968227455,1.0,False
Nup205,0.22832812,-0.00443104,0.8193911580504811,1.0,False
CG30105,0.22786771,-0.12172226,0.8197490826397145,1.0,False
glob1,0.22724128,-0.11268468,0.8202361332659935,1.0,False
MED24,0.22672608,-0.23480476,0.8206367377984392,1.0,False
Ent3,0.22515143,-0.103477165,0.821861466571546,1.0,False
mRpL10,0.22508298,-0.2149705,0.8219147255209843,1.0,False
PolI,0.22481939,-0.2622918,0.8221197801366782,1.0,False
CG17754,0.22416043,-0.14222334,0.822632469809633,1.0,False
ohgt,0.22389,-0.1434472,0.8228428942551957,1.0,False
CG8281,0.22372226,-0.25742972,0.8229734170864509,1.0,False
CG7791,0.2235648,-0.22246835,0.8230959531814686,1.0,False
Exo70,0.22352031,-0.13581038,0.8231305837294022,1.0,False
IntS14,0.22313349,-0.086494,0.823431617611018,1.0,False
Atg4a,0.22273982,-0.19140828,0.8237380062034881,1.0,False
CG32095,0.22272614,-0.15574831,0.8237486636817692,1.0,False
Pex16,0.22144929,-0.21887733,0.8247426161028801,1.0,False
