Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,pole plasm oskar mRNA localization (GO:0045451),2/33,0.0059443251675033,0.1345056624303814,0.0097597818785088,0.1875494608760724,-2.2006287028822813,11.278922491742168,Pat1;capu
GO_Biological_Process_2018,peripheral nervous system neuron development (GO:0048935),1/11,0.0378425716929513,0.1345056624303814,0.0503999601850236,0.1875494608760724,-3.4072038671130773,11.1562777246963,egh
GO_Biological_Process_2018,regulation of phosphate metabolic process (GO:0019220),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.279209789897302,11.044092050687947,Rok
GO_Biological_Process_2018,apical constriction involved in gastrulation (GO:0003384),1/12,0.0412119758635071,0.1375134296670085,0.0544868464318864,0.1875494608760724,-3.405666684765011,10.86076092837608,Rok
GO_Biological_Process_2018,mitotic spindle elongation (GO:0000022),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.212555339629745,10.819605686134262,Rok
GO_Biological_Process_2018,regulation of myotube differentiation (GO:0010830),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.210683393533925,10.813301135245249,Rok
GO_Biological_Process_2018,regulation of syncytium formation by plasma membrane fusion (GO:0060142),1/10,0.034461496392694,0.1345056624303814,0.0462959305230056,0.1875494608760724,-3.2067528698141743,10.800063474787512,Rok
GO_Biological_Process_2018,positive regulation of actin filament bundle assembly (GO:0032233),1/8,0.0276641729154105,0.1345056624303814,0.0380361617813779,0.1875494608760724,-3.0031390339299704,10.77411295031411,Rok
GO_Biological_Process_2018,regulation of myoblast fusion (GO:1901739),1/11,0.0378425716929513,0.1345056624303814,0.0503999601850236,0.1875494608760724,-3.274382766354946,10.721378861713644,Rok
GO_Biological_Process_2018,regulation of stress fiber assembly (GO:0051492),1/9,0.0310687101240235,0.1345056624303814,0.0421746877216196,0.1875494608760724,-3.055348273971725,10.606806740654989,Rok
GO_Biological_Process_2018,sensory organ precursor cell division (GO:0045035),1/11,0.0378425716929513,0.1345056624303814,0.0503999601850236,0.1875494608760724,-3.1865106367357923,10.433657339748356,numb
GO_Biological_Process_2018,epithelial cell morphogenesis involved in gastrulation (GO:0003381),1/12,0.0412119758635071,0.1375134296670085,0.0544868464318864,0.1875494608760724,-3.2357677051149767,10.318948598881663,Rok
GO_Biological_Process_2018,negative regulation of response to external stimulus (GO:0032102),1/13,0.0445697486118269,0.1388029313911182,0.0585566587147435,0.1877257588207954,-3.1920114341721986,9.929389752306768,Dsp1
