names,scores,logfoldchanges,pvals,pvals_adj,significant
sdt,15.112034,0.5960411,1.3491118395664803e-51,1.158648991627683e-49,False
CG42524,14.99871,1.0872673,7.486031010092184e-51,6.346222417587826e-49,True
Tsp66E,14.976386,0.6943832,1.0476129366855443e-50,8.824124351312854e-49,False
tipE,14.964767,0.8114696,1.24759120249986e-50,1.0441623185253605e-48,False
Snap25,14.955111,0.3953518,1.4424147706990466e-50,1.1995778536066753e-48,False
CG7646,14.794407,0.55320275,1.5918065349241782e-49,1.3072711168064815e-47,False
Marf,14.777615,0.71454126,2.0427282983895374e-49,1.66717079756761e-47,False
Pkc53E,14.754585,0.6271406,2.8745177422967796e-49,2.3315532798629437e-47,False
Ac3,14.63288,0.6556026,1.7329282387516442e-48,1.3969740525887487e-46,False
Socs36E,14.600118,0.7783575,2.8036292981330463e-48,2.2463224986261114e-46,False
CG32486,14.501794,0.58603483,1.180247143073398e-47,9.399059066657243e-46,False
tou,14.442883,0.6522346,2.7796758050306085e-47,2.187122160365401e-45,False
Gbeta13F,14.412783,0.47229242,4.300263867512004e-47,3.363420667804031e-45,False
nkd,14.299547,0.75676215,2.2023930105725488e-46,1.7123931454984195e-44,False
beat-Ic,14.278258,0.72753024,2.989814130878438e-46,2.3109504517495694e-44,False
Tmep,14.244456,0.6900275,4.853115206101088e-46,3.72923589521452e-44,False
mbl,14.227511,0.6420574,6.18435793547201e-46,4.724561818145478e-44,False
RASSF8,14.156411,0.7175927,1.7048177191600725e-45,1.2948731115470146e-43,False
SPR,14.104418,0.8945594,3.567194457660712e-45,2.6784534384949575e-43,False
Eip78C,14.093052,1.0737227,4.190551683167171e-45,3.1286277907282177e-43,True
luna,13.993477,0.7217958,1.708506512314342e-44,1.2612233467309243e-42,False
elff,13.919879,0.6730658,4.797152807873278e-44,3.501921549747493e-42,False
dpr10,13.883214,0.8534486,8.007190969313017e-44,5.812955211976412e-42,False
Psi,13.751126,0.66489345,5.014308681388685e-43,3.6202206633762265e-41,False
CG33303,13.724204,0.89457244,7.272300295581684e-43,5.221750048302913e-41,False
