names,scores,logfoldchanges,pvals,pvals_adj,significant
beat-IIa,8.293132,0.39024848,1.1030520045271413e-16,3.4836182134805682e-15,False
robo2,8.292865,1.0998542,1.1055318074744267e-16,3.4836182134805682e-15,True
ab,8.280281,0.40272158,1.2288491517428695e-16,3.844542346166977e-15,False
kirre,8.263343,0.36043307,1.4164816177528683e-16,4.421037638307052e-15,False
Cad87A,8.208458,0.8979563,2.2404708518721956e-16,6.976252842085463e-15,False
ND-B18,8.202858,0.3702297,2.347389061961181e-16,7.291889426517711e-15,False
Paf-AHalpha,8.20065,0.7296369,2.3909107731821397e-16,7.409567820663518e-15,False
ckn,8.164407,0.49378437,3.2301777269907815e-16,9.986949490037381e-15,False
kuz,8.162586,0.3602986,3.279269587037081e-16,1.0114930134663673e-14,False
kairos,8.143528,0.5096564,3.839250864249568e-16,1.1814462846894455e-14,False
Lim1,8.142527,0.75076705,3.871144368644685e-16,1.1884775000932515e-14,False
DIP-kappa,8.123075,0.6929151,4.545213201318353e-16,1.3921701973268802e-14,False
