names,scores,logfoldchanges,pvals,pvals_adj,significant
Rok,19.286154,1.1125796,7.020649565333459e-83,3.705154856949678e-81,True
Lar,19.21218,0.45265952,2.9271816167424936e-82,1.5386437450245244e-80,False
CG43737,19.195454,0.49478456,4.039348986114207e-82,2.1147842640050516e-80,False
ReepA,19.135706,0.649613,1.2734354444906148e-81,6.640561577798083e-80,False
betaTub56D,19.093609,0.49586248,2.853564705624019e-81,1.4821618101424993e-79,False
pros,18.993546,0.5778094,1.9286026455020905e-80,9.977861167142902e-79,False
beat-IIIc,18.98172,0.6153828,2.415572537583631e-80,1.2448250477014313e-78,False
Ptp36E,18.975803,0.6662573,2.7034493928735176e-80,1.3877354871777694e-78,False
Rgk1,18.890783,0.73496294,1.3581412575438725e-79,6.917571420691484e-78,False
yrt,18.82318,0.72670436,4.876936907063699e-79,2.464916457527849e-77,False
lncRNA:CR40469,18.79918,0.9036083,7.669467486511888e-79,3.846735581689035e-77,False
mahe,18.771025,0.48418957,1.3034555458260557e-78,6.512817234866996e-77,False
BtbVII,18.734709,0.5950446,2.5804584185713276e-78,1.284462275698705e-76,False
Nup153,18.560476,0.5636144,6.710684282870464e-77,3.3277397041962554e-75,False
Galphao,18.484411,0.45549622,2.75689835477297e-76,1.3619699729350225e-74,False
dpr9,18.481869,0.4770764,2.889922921611606e-76,1.4223399667752104e-74,False
Obp44a,18.358175,0.62198615,2.8399253648111694e-75,1.3925171350367005e-73,False
CG18467,18.319641,1.1111304,5.769110104781471e-75,2.818285348956629e-73,True
Cipc,18.288261,0.5298633,1.0263595445097754e-74,4.99532991644554e-73,False
CG11768,18.256142,1.2118726,1.8490185288434836e-74,8.966034128240671e-73,True
psq,18.214066,0.4516418,3.991767138417628e-74,1.9214583137709175e-72,False
CG13954,18.209171,0.5293304,4.364963859370643e-74,2.0934302947441468e-72,False
side-VIII,18.208052,0.6612232,4.45522216438884e-74,2.1289481622630452e-72,False
hth,18.126957,0.4680819,1.9526921214369987e-73,9.297219988334638e-72,False
mRpL33,18.110178,1.013694,2.6488671912938673e-73,1.2566340707867405e-71,True
CG31650,18.061066,0.6260222,6.456328788425083e-73,3.0518926837659718e-71,False
CG17776,18.031752,0.95081276,1.0975997527823468e-72,5.169734176097784e-71,False
dally,17.98616,0.5124638,2.500995011268847e-72,1.1695934321382176e-70,False
CG43759,17.962576,0.79562443,3.82633327475023e-72,1.7830441689181834e-70,False
Stat92E,17.925219,0.6331802,7.495424017786291e-72,3.480472332781966e-70,False
eIF2beta,17.869007,0.6439008,2.056245312944459e-71,9.514478752606739e-70,False
CG3961,17.842201,1.0069827,3.3233953923897567e-71,1.5323768018032908e-69,True
