names,scores,logfoldchanges,pvals,pvals_adj,significant
CG40498,17.060974,0.45188546,2.896847336963237e-65,1.1500746481883353e-63,False
Maf1,17.020296,0.5480677,5.8075736800452996e-65,2.2987146304058818e-63,False
RpS21,17.018625,0.35630453,5.975715951345962e-65,2.358164664163282e-63,False
CG44838,16.95312,0.5887973,1.8250994172477455e-64,7.180727976662462e-63,False
SK,16.94933,0.42838547,1.9466198125744695e-64,7.635979390161524e-63,False
Hipk,16.92388,0.4593505,3.0000269554573365e-64,1.1733141137400255e-62,False
Psi,16.817009,0.5980347,1.8317396101191347e-63,7.121565152833003e-62,False
Mpcp2,16.786234,0.39079395,3.07763147395576e-63,1.1930134277065675e-61,False
heph,16.756144,0.44293338,5.106868123236759e-63,1.973804529631007e-61,False
Unc-76,16.736544,0.52370447,7.099344330204602e-63,2.735849966076794e-61,False
Appl,16.696527,0.29604548,1.3891850156231558e-62,5.3222391516920965e-61,False
UbcE2H,16.687635,0.7086701,1.612333714778372e-62,6.152464197622175e-61,False
CG17698,16.687527,0.5958803,1.6152500937368924e-62,6.152464197622175e-61,False
ND-MWFE,16.66875,0.47679263,2.211694434824954e-62,8.399964326021596e-61,False
CG43347,16.60353,0.60548115,6.5709558635150555e-62,2.4812911207600962e-60,False
egh,16.599607,0.42989767,7.014708740139183e-62,2.641268984360143e-60,False
CG45002,16.563744,0.6078122,1.274155213732389e-61,4.78390676104495e-60,False
stai,16.551208,0.35221195,1.5692024047049872e-61,5.874897094082119e-60,False
bsk,16.549236,0.61811626,1.621446642407665e-61,6.053247252238388e-60,False
mAcon1,16.509756,0.70349187,3.1214564766603665e-61,1.1620130186910447e-59,False
onecut,16.483837,0.4716256,4.7942383587571824e-61,1.7796917026109642e-59,False
Rbp9,16.481613,0.44316497,4.973936720788939e-61,1.8411972520531675e-59,False
SPR,16.3723,0.86871624,3.0159766940198483e-60,1.1132851049470458e-58,False
loaf,16.36601,0.52505773,3.3443138880714784e-60,1.2310260168948822e-58,False
Ank2,16.340544,0.3444482,5.079717013451083e-60,1.8645966836246e-58,False
CG31360,16.273428,1.5344173,1.5238384386417557e-59,5.577927833479473e-58,True
Cbp53E,16.251593,0.4441121,2.176371412763398e-59,7.944360204201059e-58,False
CG42594,16.235682,0.65520763,2.8209586287704577e-59,1.0268758266114289e-57,False
CG32683,16.204042,0.90534943,4.721841900265273e-59,1.714080784844916e-57,False
Cka,16.195633,0.61497533,5.413779680643e-59,1.9544637028387272e-57,False
igl,16.122019,0.41521353,1.7867411793552544e-58,6.432757763810247e-57,False
Nup153,16.039753,0.6133462,6.742251098231835e-58,2.41416680332056e-56,False
Nep3,15.8779,0.9848898,9.014580923412952e-57,3.2016380517451243e-55,False
side-VI,15.858813,0.44109818,1.22180946558368e-56,4.3160747815148215e-55,False
SKIP,15.841449,0.5573755,1.610667341575189e-56,5.6744717253725356e-55,False
